key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-classify	word-title	word-parsed-prettify	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	depth
2191	222	0	(S,sA,B,F) ma nt.	0	place of purifying /$gk: [[agiasthrion]]$/	place of purifying /$gk: [[agiasthrion]]$/	agiasthrion	400a	12	2010-02-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/2191.html	(S, sA, B, F) ⲙⲁ ⲛⲧ.	"<span class=""word S sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S sA B F"">ⲙⲁ ⲛⲧ.</span> <span class=""nag-hammadi""></span></span>"	ⲙⲁ ⲛⲧ.	"<span class=""word S sA B F"">(<span class=""dialect S"">S</span>, <span class=""dialect sA"">sA</span>, <span class=""dialect B"">B</span>, <span class=""dialect F"">F</span>) <span class=""spelling S sA B F"">ⲙⲁ ⲛⲧ.</span></span>"	-	αγιαστηριον	place of purifying [αγιαστηριον]	place of purifying	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a	ⲙⲁ ⲛⲧ.				ⲙⲁ ⲛⲧ.	ⲙⲁ ⲛⲧ.	ⲙⲁ ⲛⲧ.				0
2192	222	0	(B) mett.	0	purity	purity		400a	13	2010-02-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/2192.html	(B) ⲙⲉⲧⲧ.	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲙⲉⲧⲧ.</span> <span class=""nag-hammadi""></span></span>"	ⲙⲉⲧⲧ.	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">ⲙⲉⲧⲧ.</span></span>"	-		purity	purity	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a						ⲙⲉⲧⲧ.					0
2193	222	0	(S,B) Gint.,Jint.	0	purification	purification		400a	14	2010-02-20	1900-01-01	vagrant		https://pishoyg.github.io/crum/2193.html	(S, B) ϭⲓⲛⲧ., ϫⲓⲛⲧ.	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">ϭⲓⲛⲧ.</span>, <span class=""spelling S B"">ϫⲓⲛⲧ.</span> <span class=""nag-hammadi""></span></span>"	ϭⲓⲛⲧ., ϫⲓⲛⲧ.	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">ϭⲓⲛⲧ.</span>, <span class=""spelling S B"">ϫⲓⲛⲧ.</span></span>"	-		purification	purification	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=400a	ϭⲓⲛⲧ., ϫⲓⲛⲧ.					ϭⲓⲛⲧ., ϫⲓⲛⲧ.					0
5450	223	0		99	With following preposition:	With following preposition:		837a	1	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5450.html					HEADER		With following preposition:	With following preposition:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837a											0
5451	223	5450	^^ e-	0	at, to	at, to		837a	2	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5451.html	― ⲉ-	"<span class=""word""><span class=""spelling"">― ⲉ-</span> <span class=""nag-hammadi""></span></span>"	― ⲉ-	"<span class=""word""><span class=""spelling"">― ⲉ-</span></span>"	-		at, to	at, to	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837a	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	― ⲉ-	1
5452	223	5450	^^ eJn-,^^ eJen-	0				837b	3	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5452.html	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	"<span class=""word""><span class=""spelling"">― ⲉϫⲛ-</span>, <span class=""spelling"">― ⲉϫⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	"<span class=""word""><span class=""spelling"">― ⲉϫⲛ-</span>, <span class=""spelling"">― ⲉϫⲉⲛ-</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837b	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	― ⲉϫⲛ-, ― ⲉϫⲉⲛ-	1
5453	223	5450	(B) ^^ n-	0	toward	toward		837b	4	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5453.html	(B) ― ⲛ-	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">― ⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ⲛ-	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">― ⲛ-</span></span>"	-		toward	toward	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837b						― ⲛ-					1
5454	223	5450	(S,B) ^^ nsa-	0	after, at	after, at		837b	5	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5454.html	(S, B) ― ⲛⲥⲁ-	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">― ⲛⲥⲁ-</span> <span class=""nag-hammadi""></span></span>"	― ⲛⲥⲁ-	"<span class=""word S B"">(<span class=""dialect S"">S</span>, <span class=""dialect B"">B</span>) <span class=""spelling S B"">― ⲛⲥⲁ-</span></span>"	-		after, at	after, at	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837b	― ⲛⲥⲁ-					― ⲛⲥⲁ-					1
5455	223	5450	(sA) ^^ oube-	0				837b	6	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5455.html	(sA) ― ⲟⲩⲃⲉ-	"<span class=""word sA"">(<span class=""dialect sA"">sA</span>) <span class=""spelling sA"">― ⲟⲩⲃⲉ-</span> <span class=""nag-hammadi""></span></span>"	― ⲟⲩⲃⲉ-	"<span class=""word sA"">(<span class=""dialect sA"">sA</span>) <span class=""spelling sA"">― ⲟⲩⲃⲉ-</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837b					― ⲟⲩⲃⲉ-						1
5456	223	5450	(S) ^^ Ha-	0				837b	7	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5456.html	(S) ― ϩⲁ-	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">― ϩⲁ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲁ-	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">― ϩⲁ-</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=837b	― ϩⲁ-										1
5457	223	5450	(S) ^^ Hn-	0	(instr) | in	(instr) | in		838a	8	2010-06-01	2011-01-10	vagrant	vagrant	https://pishoyg.github.io/crum/5457.html	(S) ― ϩⲛ-	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">― ϩⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲛ-	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">― ϩⲛ-</span></span>"	-		"<i>instr</i>
in"	"<i>instr</i>
in"	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	― ϩⲛ-										1
5458	223	5450	(S) ^^ Hht=	0	toward	toward		838a	9	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5458.html	(S) ― ϩⲏⲧ=	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">― ϩⲏⲧ=</span> <span class=""nag-hammadi""></span></span>"	― ϩⲏⲧ=	"<span class=""word S"">(<span class=""dialect S"">S</span>) <span class=""spelling S"">― ϩⲏⲧ=</span></span>"	-		toward	toward	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	― ϩⲏⲧ=										1
5459	223	5450	^^ HaJn-,^^ KaJen-	0				838a	10	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5459.html	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	"<span class=""word""><span class=""spelling"">― ϩⲁϫⲛ-</span>, <span class=""spelling"">― ϧⲁϫⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	"<span class=""word""><span class=""spelling"">― ϩⲁϫⲛ-</span>, <span class=""spelling"">― ϧⲁϫⲉⲛ-</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	― ϩⲁϫⲛ-, ― ϧⲁϫⲉⲛ-	1
5460	223	5450	(B) ^^ HiJen-	0				838a	11	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5460.html	(B) ― ϩⲓϫⲉⲛ-	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">― ϩⲓϫⲉⲛ-</span> <span class=""nag-hammadi""></span></span>"	― ϩⲓϫⲉⲛ-	"<span class=""word B"">(<span class=""dialect B"">B</span>) <span class=""spelling B"">― ϩⲓϫⲉⲛ-</span></span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a						― ϩⲓϫⲉⲛ-					1
5461	223	0		99	With following adverb:	With following adverb:		838a	12	2010-06-01	1900-01-01	vagrant		https://pishoyg.github.io/crum/5461.html					HEADER		With following adverb:	With following adverb:	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a											0
5462	223	5461	^^ ebol	0	 /$gk: [[oran, diakarterein]]$/ | (as nn m S) /$gk: [[prosdokia, skopia, apokaradokia]]$/	 /$gk: [[oran, diakarterein]]$/ | (as nn m S) /$gk: [[prosdokia, skopia, apokaradokia]]$/	oran, diakarterein, prosdokia, skopia, apokaradokia	838a	13	2010-06-01	2011-01-10	vagrant	vagrant	https://pishoyg.github.io/crum/5462.html	― ⲉⲃⲟⲗ	"<span class=""word""><span class=""spelling"">― ⲉⲃⲟⲗ</span> <span class=""nag-hammadi""></span></span>"	― ⲉⲃⲟⲗ	"<span class=""word""><span class=""spelling"">― ⲉⲃⲟⲗ</span></span>"	-	οραν, διακαρτερειν, προσδοκια, σκοπια, αποκαραδοκια	"[οραν, διακαρτερειν]
<i>as nn m S</i> [προσδοκια, σκοπια, αποκαραδοκια]"	<i>as nn m S</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	― ⲉⲃⲟⲗ	1
8819	223	5462	^^^ *^[ebol]^* e-	0				838a	14	2011-01-10	2011-01-10	vagrant	vagrant	https://pishoyg.github.io/crum/8819.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ⲉ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ⲉ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ- (c)	{ⲉⲃⲟⲗ} ⲉ- (c)	2
8820	223	5462	^^^ *^[ebol]^* eJn-	0				838a	15	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8820.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉϫⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ⲉϫⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ⲉϫⲛ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ⲉϫⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	{ⲉⲃⲟⲗ} ⲉϫⲛ- (c)	2
8821	223	5462	^^^ *^[ebol]^* mn-	0				838a	16	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8821.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲙⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ⲙⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ⲙⲛ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ⲙⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	{ⲉⲃⲟⲗ} ⲙⲛ- (c)	2
8822	223	5462	^^^ *^[ebol]^* n-	0				838a	17	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8822.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ⲛ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ⲛ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	{ⲉⲃⲟⲗ} ⲛ- (c)	2
8823	223	5462	^^^ *^[ebol]^* nsa-	0				838a	18	2011-01-10	1900-01-01	vagrant		https://pishoyg.github.io/crum/8823.html	<i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛⲥⲁ-	"<span class=""word""><span class=""spelling""><i><b>c</b></i> {ⲉⲃⲟⲗ} ⲛⲥⲁ-</span> <span class=""nag-hammadi""></span></span>"	{ⲉⲃⲟⲗ} ⲛⲥⲁ-	"<span class=""word""><span class=""spelling"">{ⲉⲃⲟⲗ} ⲛⲥⲁ-</span> (c)</span>"	-				https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=838a	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	{ⲉⲃⲟⲗ} ⲛⲥⲁ- (c)	2
